"資料集識別碼","資料集名稱","資料提供屬性","服務分類","品質檢測","檔案格式","資料下載網址","編碼格式","資資料集上架方式","資料集描述","主要欄位說明","提供機關","更新頻率","授權方式","相關網址","計費方式","提供機關聯絡人姓名","提供機關聯絡人電話","上架日期","詮釋資料更新時間","備註","資料量"
"108351","(中台灣排除六都)公司登記資料-A農、林、漁、牧業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=5FE26662-E6F9-4DF9-B101-4CC70A02B5D8","UTF-8","系統介接程式","提供每月中台灣不含六都之-A農、林、漁、牧業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2019-09-27 00:00:00","2026-02-03 09:00:58","","0"
"108371","(北台灣排除六都)公司登記資料-A農、林、漁、牧業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=0DFE3DE7-A8F2-4A15-B12F-EF0116A7DBAF","UTF-8","系統介接程式","提供每月北台灣不含六都之-A農、林、漁、牧業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2019-09-27 00:00:00","2026-02-03 08:30:21","","0"
"145491","(中台灣排除六都)公司登記資料-E營造及工程業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=D6FA33EF-5179-4763-8F14-328CCBC9C058","UTF-8","系統介接程式","提供每月中台灣不含六都之-E營造及工程業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2021-09-13 00:00:00","2026-02-03 09:01:05","","11400"
"145492","(北台灣排除六都)公司登記資料-E營造及工程業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=4684110C-CE82-462F-9B6A-5FD389139131","UTF-8","系統介接程式","提供每月北台灣不含六都之-E營造及工程業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2021-09-13 00:00:00","2026-02-03 08:30:15","","15080"
"145484","(東台灣排除六都)公司登記資料-E營造及工程業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=135D87C4-23A9-4DF1-AB29-ED12AE54C731","UTF-8","系統介接程式","提供每月東台灣不含六都之-E營造及工程業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2021-09-13 00:00:00","2026-02-03 10:00:16","","1570"
"145489","(中台灣排除六都)公司登記資料-Z其他未分類業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=DF655EAA-CC48-48CA-8F72-38D3D3F31296","UTF-8","系統介接程式","提供每月中台灣不含六都之-Z其他未分類業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2021-09-13 00:00:00","2026-02-03 09:30:48","","32390"
"145485","(南台灣排除六都)公司登記資料-E營造及工程業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=E785EB32-C79A-4241-A360-3371B9B58045","UTF-8","系統介接程式","提供每月南台灣不含六都之-E營造及工程業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2021-09-13 00:00:00","2026-02-03 09:30:44","","5760"
"145495","(南台灣排除六都)公司登記資料-Z其他未分類業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=6E3BBE78-9FBD-4727-BD32-A5FF526C6A6E","UTF-8","系統介接程式","提供每月南台灣不含六都之-Z其他未分類業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2021-09-13 00:00:00","2026-02-03 10:00:27","","13250"
"145486","(東台灣排除六都)公司登記資料-Z其他未分類業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=E530335D-1B7E-4397-8713-B63F953A6EBB","UTF-8","系統介接程式","提供每月東台灣不含六都之-Z其他未分類業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2021-09-13 00:00:00","2026-02-03 10:00:21","","3490"
"145497","(北台灣排除六都)公司登記資料-Z其他未分類業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=EDB3C50A-232D-401A-B452-772C23C2C8B1","UTF-8","系統介接程式","提供每月北台灣不含六都之-Z其他未分類業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2021-09-13 00:00:00","2026-02-03 09:01:08","","32210"
"145487","(南台灣排除六都)公司登記資料-G運輸、倉儲及通信業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=89A6099A-BA34-4AD6-868B-A50B2F8CEE7F","UTF-8","系統介接程式","提供每月南台灣不含六都之-G運輸、倉儲及通信業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2021-09-13 00:00:00","2026-02-03 10:00:22","","1200"
"145483","(東台灣排除六都)公司登記資料-G運輸、倉儲及通信業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=DF9E6D94-A795-4322-8543-AC659D42A49E","UTF-8","系統介接程式","提供每月東台灣不含六都之-G運輸、倉儲及通信業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2021-09-13 00:00:00","2026-02-03 10:00:14","","400"
"108342","(南台灣排除六都)公司登記資料-F零售、批發及餐飲業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=51498516-FA2A-4BA2-A012-1FBA707E9960","UTF-8","系統介接程式","提供每月南台灣不含六都之-F零售、批發及餐飲業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2019-09-27 00:00:00","2026-02-03 10:00:12","","0"
"132184","(南台灣排除六都)公司登記資料-B礦業及土石採取業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=08527C75-FC02-4DB4-ACC8-5257FDEAEF8B","UTF-8","系統介接程式","提供每月南台灣不含六都之-B礦業及土石採取業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2020-09-26 00:00:00","2026-02-03 09:30:46","","600"
"132185","(東台灣排除六都)公司登記資料-B礦業及土石採取業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=280D64C0-2163-484A-87EC-BF52C3D9D82C","UTF-8","系統介接程式","提供每月東台灣不含六都之-B礦業及土石採取業公司登記資料資料集，資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2020-09-16 00:00:00","2026-02-03 10:00:23","","300"
"108390","(中台灣排除六都)公司登記資料-F零售、批發及餐飲業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=EA4C3D88-CA77-4EEE-B227-5D38898AE73B","UTF-8","系統介接程式","提供每月中台灣不含六都之-F零售、批發及餐飲業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2019-09-27 00:00:00","2026-02-03 09:30:56","","0"
